timestamp,battery_voltage,humidity,rssi,snr,temperature,gateway_id,losant_id
2024-11-03T00:04:47.613Z,3.618,60,-103,8.5,31.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T00:44:47.147Z,3.618,59.9,-101,7.8,31.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T01:04:46.923Z,3.618,59.8,-101,7.2,32.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T01:24:46.719Z,3.618,59.8,-102,8.2,32.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T01:44:46.480Z,3.618,59.6,-101,8.5,31.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T02:04:46.265Z,3.618,59.7,-101,8.2,31.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T02:24:46.019Z,3.618,59.8,-105,8.5,32.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T02:44:45.815Z,3.618,59.7,-102,9.8,32,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T03:04:45.551Z,3.618,59.7,-101,7.8,32.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T03:24:45.344Z,3.618,60.2,-103,7.8,32.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T03:44:45.166Z,3.618,60,-101,6.8,33.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T04:04:44.925Z,3.618,60.1,-101,6.8,33.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T04:44:44.487Z,3.618,60.4,-102,8.8,33.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T05:04:44.282Z,3.618,59.9,-101,8.2,33.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T05:24:44.031Z,3.618,60.1,-103,8.2,33,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T05:44:43.821Z,3.618,60,-105,8.2,33.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T06:04:43.647Z,3.618,60,-102,6.8,32.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T07:04:42.911Z,3.618,59.5,-102,8.5,30.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T07:24:42.655Z,3.618,59.3,-101,8.8,29.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T07:44:42.496Z,3.618,59.3,-103,8.8,28.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T08:04:42.276Z,3.618,59.1,-100,7,26.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T08:44:41.830Z,3.624,58.8,-102,9,23.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T09:04:41.574Z,3.624,58.8,-107,8.5,22.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T09:24:41.363Z,3.618,58.9,-103,8.5,22.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T09:44:41.155Z,3.624,59,-103,8.2,21.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T10:04:40.883Z,3.624,59.1,-102,9,21.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T10:24:40.729Z,3.624,59.2,-103,8,20.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T10:44:40.437Z,3.624,59.3,-103,8.8,20.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T11:04:40.230Z,3.624,59.4,-102,5.5,20.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T11:24:39.985Z,3.624,59.5,-102,7.5,20,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T11:44:39.742Z,3.624,59.6,-102,7.5,19.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T12:24:39.308Z,3.624,59.7,-101,9,19.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T12:44:39.070Z,3.624,59.9,-102,9.8,19.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T13:04:38.844Z,3.624,60,-107,9,18.9,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T13:24:38.621Z,3.624,60.1,-103,9.8,18.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T13:44:38.389Z,3.624,60.2,-103,9,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T14:04:38.195Z,3.624,60.2,-103,8,18.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T15:04:37.495Z,3.624,60.4,-101,8,18.8,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T15:24:37.234Z,3.624,60.5,-102,9.2,18.7,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T16:04:36.810Z,3.624,60.6,-102,8.5,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T16:24:36.610Z,3.63,60.6,-102,9.2,18.6,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T16:44:36.366Z,3.624,60.7,-105,7.5,18.5,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T17:04:36.131Z,3.624,60.7,-102,9,18.4,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T17:24:35.894Z,3.624,60.8,-101,6.2,18.3,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T17:44:35.693Z,3.624,60.9,-102,10,18.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T18:24:35.220Z,3.624,61,-105,8.5,18.1,eui-00800000a000018f,65d2bb6e91885514259b6bf8
2024-11-03T18:44:35.001Z,3.624,61.1,-101,9,18.2,eui-00800000a000018f,65d2bb6e91885514259b6bf8
